19970.19141	1.04089E-4
18970.26172	1.0402E-4
17970.2832	1.03921E-4
16970.31836	1.03759E-4
15970.30469	1.03626E-4
14970.47363	1.03507E-4
13970.32422	1.03359E-4
12970.38281	1.032E-4
11970.20996	1.03001E-4
10970.44043	1.02788E-4
9970.5	1.02608E-4
8970.25195	1.02357E-4
7970.36084	1.02094E-4
6970.14941	1.01757E-4
5970.40479	1.01388E-4
4970.29248	1.00873E-4
4770.4292	1.00744E-4
4670.3999	1.0064E-4
4570.30908	1.0061E-4
4470.2793	1.0051E-4
4370.29883	1.00476E-4
4270.42822	1.00393E-4
4170.26367	1.00329E-4
4070.4917	1.00233E-4
3970.47437	1.00141E-4
3870.37109	1.00053E-4
3770.20679	1E-4
3670.40991	9.98714E-5
3569.87769	9.97746E-5
3469.88501	9.96619E-5
3369.79395	9.9566E-5
3269.8623	9.94245E-5
3169.58765	9.9317E-5
3069.92578	9.9168E-5
2969.9082	9.90307E-5
2869.76831	9.886E-5
2769.84912	9.87022E-5
2670.05249	9.85366E-5
2570.24341	9.83286E-5
2469.77246	9.8084E-5
2369.98804	9.78387E-5
2319.8689	9.76588E-5
2269.89697	9.75236E-5
2219.86377	9.74051E-5
2169.63452	9.7206E-5
2119.73633	9.70692E-5
2069.72754	9.69281E-5
2019.59619	9.67181E-5
1969.94299	9.65616E-5
1920.02014	9.63804E-5
1869.81543	9.61588E-5
1819.86792	9.59738E-5
1769.9696	9.57431E-5
1720.19385	9.54994E-5
1670.05029	9.5281E-5
1619.8822	9.50361E-5
1570.10632	9.47713E-5
1520.08545	9.45062E-5
1469.94189	9.42423E-5
1419.94556	9.39259E-5
1369.98584	9.36114E-5
1320.05066	9.33259E-5
1269.84595	9.29896E-5
1220.02112	9.26427E-5
1169.88989	9.22886E-5
1119.73401	9.18935E-5
1069.72534	9.1513E-5
1019.91284	9.10816E-5
969.59772	9.06426E-5
919.68701	9.01954E-5
869.89893	8.96694E-5
820.33154	8.90504E-5
769.96741	8.84424E-5
720.06903	8.77265E-5
670.01129	8.69517E-5
620.27228	8.60831E-5
570.14105	8.49719E-5
520.15686	8.37513E-5
470.1604	8.22049E-5
419.9924	8.03786E-5
409.80679	7.98412E-5
399.91534	7.93708E-5
389.97491	7.89342E-5
379.98544	7.84441E-5
369.7876	7.79422E-5
359.89615	7.73998E-5
349.94345	7.68794E-5
339.97849	7.6284E-5
330.05029	7.57539E-5
319.92599	7.50836E-5
309.91199	7.44458E-5
299.9838	7.37614E-5
289.884	7.31068E-5
279.94354	7.23582E-5
269.90503	7.16E-5
259.95233	7.07703E-5
249.85254	6.99094E-5
239.92435	6.89953E-5
229.97162	6.79952E-5
219.99442	6.69638E-5
209.89461	6.58093E-5
199.9174	6.46347E-5
189.94017	6.32984E-5
179.90167	6.18274E-5
169.92444	6.02096E-5
159.98398	5.83368E-5
150.05579	5.61926E-5
139.68634	5.34307E-5
